lake_id,period,region,dominant_landcover,nof_lake_type,lake_perimeter,lake_depth,lake_area,lake_number,lake_name,east_nzmg,north_nzmg,median_NH4N_mg/L^-1,band_classification_NH4N,exceeding_national_bottom_line_NH4N1.3,median_CHLA_mg/m^3,band_classification_CHLA,exceeding_national_bottom_line_CHLA12,median_SECCHI_metre,median_TN_mg/m^3,band_classification_TN,national_bottom_line_TN,exceeding_national_bottom_line_TN,median_TP_mg/m^3,band_classification_TP,exceeding_national_bottom_line_TP50,median_TLI3,band_classification_TLI3
24848,2013-2017,West Coast,Native,Stratified,4067.72,42.27,103043.4,,,2462372,5980746,0.007664,A,FALSE,2.580493,B,FALSE,7.689664,245.5386,B,750,FALSE,10.30001,B,FALSE,3.158653,Mesotrophic (average)
24853,2013-2017,West Coast,Native,Polymictic,462.82,12.93,12865,,,2453402,5988018,0.00652,A,FALSE,2.024417,B,FALSE,5.678357,273.8974,A,800,FALSE,13.30094,B,FALSE,2.959402,Oligotrophic (good)
24866,2013-2017,West Coast,Native,Polymictic,535,13.99,13058.94,,,2457425,5985655,0.006286,A,FALSE,4.133675,B,FALSE,8.048394,247.487,A,800,FALSE,12.29198,B,FALSE,3.367166,Mesotrophic (average)
24869,2013-2017,West Coast,Native,Stratified,652.88,15.6,26265.94,,,2455280,5986885,0.006461,A,FALSE,3.791063,B,FALSE,5.709074,262.37,B,750,FALSE,11.2953,B,FALSE,3.335166,Mesotrophic (average)
24881,2013-2017,Tasman district council,Native,Polymictic,585.48,14.7,16586.63,,,2476930,5988765,0.006921,A,FALSE,1.984959,A,FALSE,7.171303,236.6783,A,800,FALSE,13.44795,B,FALSE,2.787945,Oligotrophic (good)
24882,2013-2017,Tasman district council,Native,Stratified,796.36,17.38,40235.13,,,2477352,5988824,0.007086,A,FALSE,1.985766,A,FALSE,7.966078,224.6841,B,750,FALSE,13.4504,B,FALSE,2.748679,Oligotrophic (good)
24884,2013-2017,West Coast,Pastoral,Stratified,1537.58,24.87,40819.38,,,2434722,5996099,0.014793,A,FALSE,4.765472,B,FALSE,1.590554,773.028,D,750,TRUE,20.0096,C,FALSE,4.377896,Eutrophic (poor)
24889,2013-2017,West Coast,Native,Stratified,1059.16,20.3,12820.06,,,2442664,6009176,0.005795,A,FALSE,2.620208,B,FALSE,7.373505,363.9353,C,750,FALSE,13.87084,B,FALSE,3.753729,Mesotrophic (average)
24892,2013-2017,West Coast,Native,Polymictic,549.82,14.2,16241.63,,,2455928,6004239,0.007073,A,FALSE,4.00492,B,FALSE,7.172011,294.6101,A,800,FALSE,12.17903,B,FALSE,3.596366,Mesotrophic (average)
24906,2013-2017,West Coast,Native,Stratified,1318.34,22.87,91763.81,,,2453553,6009948,0.006234,A,FALSE,3.876522,B,FALSE,6.282298,289.4581,B,750,FALSE,11.91232,B,FALSE,3.377777,Mesotrophic (average)
24916,2013-2017,West Coast,Native,Stratified,2809.38,34.55,194612,,,2450134,6015867,0.006602,A,FALSE,2.441975,B,FALSE,7.002527,233.1409,B,750,FALSE,6.256266,A,FALSE,2.904319,Oligotrophic (good)
24917,2013-2017,Tasman district council,Native,Stratified,1432.1,23.93,74449.25,,,2453877,6016369,0.006854,A,FALSE,2.955006,B,FALSE,5.678357,278.7099,B,750,FALSE,11.45606,B,FALSE,3.292226,Mesotrophic (average)
24922,2013-2017,West Coast,Native,Stratified,939.43,19.02,46640.25,,,2457933,6006560,0.006411,A,FALSE,2.487106,B,FALSE,5.709074,254.1459,B,750,FALSE,11.16971,B,FALSE,3.16424,Mesotrophic (average)
24923,2013-2017,West Coast,Native,Stratified,2375.84,31.53,316810.4,,,2458288,6005912,0.006575,A,FALSE,1.583276,A,FALSE,5.74323,209.0491,B,750,FALSE,5.211693,A,FALSE,2.65909,Oligotrophic (good)
24925,2013-2017,West Coast,Native,Polymictic,550.03,14.2,16176.69,,,2456888,6008067,0.006417,A,FALSE,2.466485,B,FALSE,5.646347,245.9503,A,800,FALSE,11.17838,B,FALSE,3.106126,Mesotrophic (average)
24927,2013-2017,West Coast,Native,Stratified,2211.21,30.32,73865.06,,,2459292,6008335,0.006808,A,FALSE,3.007204,B,FALSE,8.420329,255.9274,B,750,FALSE,11.4719,B,FALSE,3.31108,Mesotrophic (average)
